metric_name,pandas_value,dbt_postgres_value,difference,tolerance,status,message
dwd_row_count,99441.0,99441.0,0.0,0.0,PASS,Values match within tolerance of 0.
dwd_unique_order_count,99441.0,99441.0,0.0,0.0,PASS,Values match within tolerance of 0.
dwd_total_payment_amount,16008872.12,16008872.12,0.0,0.01,PASS,Values match within tolerance of 0.01.
dwd_total_product_amount,13591643.7,13591643.7,0.0,0.01,PASS,Values match within tolerance of 0.01.
dwd_total_freight_amount,2251909.54,2251909.54,0.0,0.01,PASS,Values match within tolerance of 0.01.
dwd_delivered_order_count,96476.0,96476.0,0.0,0.0,PASS,Values match within tolerance of 0.
dwd_average_review_score,4.09,4.06,0.03,0.05,PASS,Values match within tolerance of 0.05.
dws_row_count,634.0,634.0,0.0,0.0,PASS,Values match within tolerance of 0.
dws_total_order_count,99441.0,99441.0,0.0,0.0,PASS,Values match within tolerance of 0.
dws_total_payment_amount,16008872.12,16008872.12,0.0,0.01,PASS,Values match within tolerance of 0.01.
dws_total_product_amount,13591643.7,13591643.7,0.0,0.01,PASS,Values match within tolerance of 0.01.
dws_start_date,0.0,0.0,0.0,0.0,PASS,Values match within tolerance of 0.
dws_end_date,0.0,0.0,0.0,0.0,PASS,Values match within tolerance of 0.
ads_row_count,634.0,634.0,0.0,0.0,PASS,Values match within tolerance of 0.
ads_total_order_count,99441.0,99441.0,0.0,0.0,PASS,Values match within tolerance of 0.
ads_total_gmv,16008872.12,16008872.12,0.0,0.01,PASS,Values match within tolerance of 0.01.
ads_average_daily_gmv,25250.5869,25250.5869,0.0,0.05,PASS,Values match within tolerance of 0.05.
ads_latest_daily_gmv,89.71,89.71,0.0,0.01,PASS,Values match within tolerance of 0.01.
ads_latest_daily_order_count,1.0,1.0,0.0,0.0,PASS,Values match within tolerance of 0.
ads_start_date,0.0,0.0,0.0,0.0,PASS,Values match within tolerance of 0.
ads_end_date,0.0,0.0,0.0,0.0,PASS,Values match within tolerance of 0.
